Advertiser,Advertiser ID,Advertiser Currency,Insertion Order,Insertion Order ID,Line Item,Line Item ID,Date,Campaign,Campaign ID,Impressions,Billable Impressions,Clicks,Click Rate (CTR),Revenue (Adv Currency),Media Cost (Advertiser Currency),Start Views,1st Quartile Views,Midpoint Views,3rd Quartile Views,Complete Views,Video Completion Rate,Viewable Impressions,Measurable Impressions,Viewability,For Checking (Measurable-Impression),Start Views-Impression
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07289|Mandarin - Virtual Emergency Care - Banner",1022210973,LI07289|Mandarin - Virtual Emergency Care - Banner,22864523945,08/02/2026,CA01196,55961000,2194,2194,11,0.50%,72.276542,66.005974,0,0,0,0,0,0.00%,1711,2107,81.21%,-87,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07290|Vietnamese - Virtual Emergency Care - Banner",1022575960,LI07290|Vietnamese - Virtual Emergency Care - Banner,22868376928,08/02/2026,CA01196,55961000,2700,2700,11,0.41%,102.709633,93.798752,0,0,0,0,0,0.00%,2331,2642,88.23%,-58,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07291|Cantonese - Virtual Emergency Care - Banner",1022263244,LI07291|Cantonese - Virtual Emergency Care - Banner,22864531337,08/02/2026,CA01196,55961000,2527,2527,13,0.51%,95.356671,87.083718,0,0,0,0,0,0.00%,2050,2457,83.44%,-70,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07292|Greek - Virtual Emergency Care - Banner",1022213145,LI07292|Greek - Virtual Emergency Care - Banner,22858704441,08/02/2026,CA01196,55961000,2513,2513,11,0.44%,91.757126,83.796462,0,0,0,0,0,0.00%,1874,2440,76.80%,-73,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07293|Arabic - Virtual Emergency Care - Banner",1022263916,LI07293|Arabic - Virtual Emergency Care - Banner,22864534451,08/02/2026,CA01196,55961000,2730,2730,11,0.40%,103.713604,94.71562,0,0,0,0,0,0.00%,2323,2646,87.79%,-84,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07294|Italian - Virtual Emergency Care - Banner",1022213889,LI07294|Italian - Virtual Emergency Care - Banner,22864526348,08/02/2026,CA01196,55961000,2750,2750,11,0.40%,122.329112,111.716084,0,0,0,0,0,0.00%,2059,2677,76.91%,-73,0
CL00003,784915671,INR,"IO01235|Right Care, Right Time Campaign Aug'25 to Sep'25 IO|LI07295|Turkish - Virtual Emergency Care - Banner",1022263709,LI07295|Turkish - Virtual Emergency Care - Banner,22864531163,08/02/2026,CA01196,55961000,2735,2735,13,0.48%,104.579394,95.506296,0,0,0,0,0,0.00%,2308,2681,86.09%,-54,0
CL00003,784915671,INR,IO01240|Zee5 - Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07327|Zee5 - Hindi - Video - Burst - 4 NEW,1022773504,LI07327|Zee5 - Hindi - Video - Burst - 4 NEW,22920646018,08/02/2026,CA01201,56001302,1394,1394,7,0.50%,84.490098,77.159907,1341,854,531,369,1157,86.28%,1145,1298,88.21%,-96,-53
CL00003,784915671,INR,IO01240|Zee5 - Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07328|Zee5 - Punjabi - Video - Burst - 4 NEW,1022772823,LI07328|Zee5 - Punjabi - Video - Burst - 4 NEW,22916584055,08/02/2026,CA01201,56001302,1497,1497,7,0.47%,90.430656,82.585074,1406,786,490,382,1065,75.75%,1160,1432,81.01%,-65,-91
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07337|Arabic - Video - Burst - 4,1022383992,LI07337|Arabic - Video - Burst - 4,22909607885,08/02/2026,CA01202,56003266,2672,2672,10,0.37%,115.473326,105.455092,2572,2428,2281,2177,2075,80.68%,2294,2600,88.23%,-72,-100
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07338|Greek - Video - Burst - 4,1022744092,LI07338|Greek - Video - Burst - 4,22903885179,08/02/2026,CA01202,56003266,2670,2670,12,0.45%,110.720565,101.114671,2613,2170,1925,1711,2016,77.15%,2222,2603,85.36%,-67,-57
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07339|Italian - Video - Burst - 4,1022412605,LI07339|Italian - Video - Burst - 4,22913779405,08/02/2026,CA01202,56003266,2404,2404,12,0.50%,105.448373,96.299884,2326,1609,1352,1159,2040,87.70%,1880,2306,81.53%,-98,-78
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07340|Punjabi - Video - Burst - 4,1022384022,LI07340|Punjabi - Video - Burst - 4,22903893345,08/02/2026,CA01202,56003266,2778,778,11,0.40%,85.144312,77.757363,2711,2360,1870,1772,2221,81.93%,2405,2709,88.78%,-69,-67
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07341|Hindi - Video - Burst - 4,1022727250,LI07341|Hindi - Video - Burst - 4,22913781328,08/02/2026,CA01202,56003266,2319,2319,11,0.47%,101.009715,92.246315,2230,1341,982,821,1944,87.17%,1923,2256,85.24%,-63,-89
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07342|Mandarin - Video - Burst - 4,1022382987,LI07342|Mandarin - Video - Burst - 4,22909621355,08/02/2026,CA01202,56003266,2801,2801,13,0.46%,128.333077,117.199157,2714,2469,2327,2187,2079,76.60%,2392,2749,87.01%,-52,-87
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07343|Cantonese - Video - Burst - 4,1022384259,LI07343|Cantonese - Video - Burst - 4,22913780767,08/02/2026,CA01202,56003266,2268,2268,11,0.49%,106.638881,97.387106,2197,2004,1851,1726,1649,75.06%,1857,2208,84.10%,-60,-71
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07344|Vietnamese - Video - Burst - 4,1022383224,LI07344|Vietnamese - Video - Burst - 4,22903893528,08/02/2026,CA01202,56003266,2794,2794,15,0.54%,126.678088,115.687752,2717,2544,2379,2245,2110,77.66%,2078,2705,76.82%,-89,-77
CL00003,784915671,INR,IO01241|Media Partnerships Campaign Aug'25 to Jun'26 IO|LI07345|Turkish - Video - Burst - 4,1022384025,LI07345|Turkish - Video - Burst - 4,22903894743,08/02/2026,CA01202,56003266,2794,2794,12,0.43%,125.620912,114.722294,2712,2366,2036,1858,2205,81.31%,2394,2697,88.77%,-97,-82
CL00003,784915671,INR,IO01247|VCE Reforms Campaign Aug’25 to Oct’25 IO|LI07403|Vietnamese - Banner,1022472252,LI07403|Vietnamese - Banner,22927678517,08/02/2026,CA01208,56017580,1065,1065,5,0.47%,40.405282,36.899801,0,0,0,0,0,0.00%,783,969,80.80%,-96,0
CL00003,784915671,INR,IO01247|VCE Reforms Campaign Aug’25 to Oct’25 IO|LI07405|Sinhalese - Banner,1022834545,LI07405|Sinhalese - Banner,22927679747,08/02/2026,CA01208,56017580,1082,1082,5,0.46%,33.946878,31.001715,0,0,0,0,0,0.00%,818,998,81.96%,-84,0
CL00003,784915671,INR,IO01247|VCE Reforms Campaign Aug’25 to Oct’25 IO|LI07406|Persian - Banner,1022835679,LI07406|Persian - Banner,22927680395,08/02/2026,CA01208,56017580,768,768,3,0.39%,26.648499,24.336529,0,0,0,0,0,0.00%,543,674,80.56%,-94,0
CL00003,784915671,INR,IO01248|Zee5 - VCE Reforms Campaign Aug’25 to Oct’25 IO|LI07408|Hindi - Banner,1022835328,LI07408|Hindi - Banner,22931755576,08/02/2026,CA01209,56017864,890,890,4,0.45%,39.195095,35.794607,0,0,0,0,0,0.00%,724,836,86.60%,-54,0
CL00003,784915671,INR,IO01254|TFNSW Park and Ride Campaign Sep'25 to Nov'25 IO|LI08270|Mandarin - Banner - Burst-3 - Part B,1024779816,LI08270|Mandarin - Banner - Burst-3 - Part B,23356900951,08/02/2026,CA01215,56086233,2402,2402,10,0.42%,74.605839,68.133186,0,0,0,0,0,0.00%,1931,2334,82.73%,-68,0
CL00003,784915671,INR,IO01254|TFNSW Park and Ride Campaign Sep'25 to Nov'25 IO|LI08271|Cantonese - Banner - Burst-3 - Part B,1024744073,LI08271|Cantonese - Banner - Burst-3 - Part B,23352834440,08/02/2026,CA01215,56086233,3982,3982,20,0.50%,185.496071,169.402805,0,0,0,0,0,0.00%,3171,3881,81.71%,-101,0
CL00003,784915671,INR,IO01260|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI07456|MPN - Priority - ACT - Indian - Banner,1022781578,LI07456|MPN - Priority - ACT - Indian - Banner,22989955436,08/02/2026,CA01221,56068715,605,605,3,0.50%,28.898742,26.391545,0,0,0,0,0,0.00%,420,542,77.49%,-63,0
CL00003,784915671,INR,IO01260|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI07457|MPN - Priority - ACT - Pakistan - Banner,1023124111,LI07457|MPN - Priority - ACT - Pakistan - Banner,22994019106,08/02/2026,CA01221,56068715,595,595,3,0.50%,18.291147,16.704244,0,0,0,0,0,0.00%,419,514,81.52%,-81,0
CL00003,784915671,INR,IO01260|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI07458|MPN - Priority - ACT - Srilanka - Banner,1023125053,LI07458|MPN - Priority - ACT - Srilanka - Banner,22994020237,08/02/2026,CA01221,56068715,557,557,3,0.54%,17.529863,16.009007,0,0,0,0,0,0.00%,411,471,87.26%,-86,0
CL00003,784915671,INR,IO01260|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI07459|MPN - Secondary - NSW - Indian - Banner,1023124630,LI07459|MPN - Secondary - NSW - Indian - Banner,22983685914,08/02/2026,CA01221,56068715,291,291,1,0.34%,10.708188,9.779167,0,0,0,0,0,0.00%,242,287,84.32%,-4,0
CL00003,784915671,INR,IO01260|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI07460|MPN - Secondary - NSW - Pakistan - Banner,1023122269,LI07460|MPN - Secondary - NSW - Pakistan - Banner,22983689919,08/02/2026,CA01221,56068715,301,301,1,0.33%,9.1312,8.338995,0,0,0,0,0,0.00%,240,298,80.54%,-3,0
CL00003,784915671,INR,IO01260|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI07461|MPN - Secondary - NSW - Srilanka - Banner,1022753078,LI07461|MPN - Secondary - NSW - Srilanka - Banner,22989961334,08/02/2026,CA01221,56068715,301,301,1,0.33%,10.362806,9.46375,0,0,0,0,0,0.00%,256,299,85.62%,-2,0
CL00003,784915671,INR,IO01260|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI07462|MPN - Secondary - VIC - Indian - Banner,1023124627,LI07462|MPN - Secondary - VIC - Indian - Banner,22983686355,08/02/2026,CA01221,56068715,301,301,1,0.33%,11.608013,10.600925,0,0,0,0,0,0.00%,255,288,88.54%,-13,0
CL00003,784915671,INR,IO01260|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI07463|MPN - Secondary - VIC - Pakistan - Banner,1022760477,LI07463|MPN - Secondary - VIC - Pakistan - Banner,22989961424,08/02/2026,CA01221,56068715,301,301,1,0.33%,8.456031,7.722403,0,0,0,0,0,0.00%,220,287,76.66%,-14,0
CL00003,784915671,INR,IO01260|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI07464|MPN - Secondary - VIC - Srilanka - Banner,1022758860,LI07464|MPN - Secondary - VIC - Srilanka - Banner,22994024812,08/02/2026,CA01221,56068715,298,298,1,0.34%,9.041806,8.257357,0,0,0,0,0,0.00%,232,286,81.12%,-12,0
CL00003,784915671,INR,IO01261|Zee5 - Grand Prix Campaign Sep'25 to Mar'26 IO|LI07471|Zee5 - Hindi - Announce - Video,1023148663,LI07471|Zee5 - Hindi - Announce - Video,22999285168,08/02/2026,CA01222,56064031,1150,1150,6,0.52%,75.535443,68.98214,1081,776,409,255,937,86.68%,833,1072,77.71%,-78,-69
CL00003,784915671,INR,IO01267|University of Wollongong Liverpool Campus Campaign Sep'25 to Mar'26 IO|LI07485|Mandarin - Banner,1022814477,LI07485|Mandarin - Banner,22997930553,08/02/2026,CA01228,56102511,221,221,1,0.45%,7.443231,6.797471,0,0,0,0,0,0.00%,156,205,76.10%,-16,0
